Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,name,ID,Index
A0A075B6H7;A0A0C4DH55;P01624,P01624;A0A075B6H7;A0A0C4DH55,KV315_HUMAN;KV37_HUMAN;KVD07_HUMAN,IGKV3-15;IGKV3-7;IGKV3D-7,Probable non-functional immunoglobulin kappa variable 3-7,IGKV3-15;IGKV3-7;IGKV3D-7,A0A075B6H7;A0A0C4DH55;P01624,A0A075B6H7;A0A0C4DH55;P01624
A0A075B6H9,A0A075B6H9,LV469_HUMAN,IGLV4-69,Immunoglobulin lambda variable 4-69,IGLV4-69,A0A075B6H9,A0A075B6H9
A0A075B6I0,A0A075B6I0,LV861_HUMAN,IGLV8-61,Immunoglobulin lambda variable 8-61,IGLV8-61,A0A075B6I0,A0A075B6I0
A0A075B6K5;P80748,P80748;A0A075B6K5,LV321_HUMAN;LV39_HUMAN,IGLV3-21;IGLV3-9,Immunoglobulin lambda variable 3-9,IGLV3-21;IGLV3-9,A0A075B6K5;P80748,A0A075B6K5;P80748
A0A075B6S5;A0A0C4DH67;A0A0C4DH69,A0A075B6S5;A0A0C4DH67;A0A0C4DH69,KV108_HUMAN;KV109_HUMAN;KV127_HUMAN,IGKV1-27;IGKV1-8;IGKV1-9,Immunoglobulin kappa variable 1-27,IGKV1-27;IGKV1-8;IGKV1-9,A0A075B6S5;A0A0C4DH67;A0A0C4DH69,A0A075B6S5;A0A0C4DH67;A0A0C4DH69
A0A0A0MRZ8;P04433,P04433;A0A0A0MRZ8,KV311_HUMAN;KVD11_HUMAN,IGKV3-11;IGKV3D-11,Immunoglobulin kappa variable 3D-11,IGKV3-11;IGKV3D-11,A0A0A0MRZ8;P04433,A0A0A0MRZ8;P04433
A0A0B4J1X5;A0A0C4DH42;P01764;P01767;P01768;P01772;P0DP02;P0DP03,P01764;P01768;P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02;P0DP03,HV323_HUMAN;HV330_HUMAN;HV333_HUMAN;HV353_HUMAN;HV366_HUMAN;HV374_HUMAN;HVC05_HUMAN;HVC33_HUMAN,IGHV3-23;IGHV3-30;IGHV3-30-3;IGHV3-30-5;IGHV3-33;IGHV3-53;IGHV3-66;IGHV3-74,Immunoglobulin heavy variable 3-74,IGHV3-23;IGHV3-30;IGHV3-30-3;IGHV3-30-5;IGHV3-33;IGHV3-53;IGHV3-66;IGHV3-74,A0A0B4J1X5;A0A0C4DH42;P01764;P01767;P01768;P01772;P0DP02;P0DP03,A0A0B4J1X5;A0A0C4DH42;P01764;P01767;P01768;P01772;P0DP02;P0DP03
A0A0B4J2D5;P0DPI2,A0A0B4J2D5;P0DPI2,GAL3A_HUMAN;GAL3B_HUMAN,GATD3;GATD3B,"Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial",GATD3;GATD3B,A0A0B4J2D5;P0DPI2,A0A0B4J2D5;P0DPI2
A0A0C4DH25,A0A0C4DH25,KVD20_HUMAN,IGKV3D-20,Immunoglobulin kappa variable 3D-20,IGKV3D-20,A0A0C4DH25,A0A0C4DH25
A0A0C4DH29,A0A0C4DH29,HV103_HUMAN,IGHV1-3,Immunoglobulin heavy variable 1-3,IGHV1-3,A0A0C4DH29,A0A0C4DH29
